title,url,imageurl,description,autokwd,company,screenshot,tag,platform
Granblue Fantasy Versus: Rising,https://store.playstation.com/ko-kr/concept/10007911,https://image.api.playstation.com/vulcan/ap/rnd/202307/1410/ec2d7b5c460e16a679c11d3806352a666617129c1f74a0e8.png?w=1920,"English/Chinese/Korean/Japanese Ver.

■'Granblue Fantasy Versus: Rising' 게임 본편
■그랑블루 판타지 스페셜 아이템 세트 GBVSR 팩
■PSN 아바타 세트


격투 게임 입문의 결정판!
모든 요소가 업그레이드된 'GBVS' 시리즈 신작!

■무료로 즐길 수 있는 파티 배틀 '그라바톳!'
마치 RPG의 마을과도 같은 온라인 로비에 모여 많은 사람들과 함께 즐길 수 있는 파티 배틀!
일부 캐릭터를 사용한 대전 격투 모드도 무료로 플레이할 수 있습니다.
※Free Edition에서는 사용할 수 있는 아바타, 캐릭터, 모드가 일부 제한되어 있습니다.

■커맨드 입력 불필요
버튼 하나로 필살기 사용 가능! 복잡한 조작 없이 대전의 묘미인 심리전에 집중할 수 있습니다. 보다 심도 깊은 대전을 즐겨 보세요.

■방대한 스토리
기본 조작 방법을 배우며 '그랑블루 판타지'의 오리지널 스토리를 즐길 수 있습니다. 액션 RPG처럼 퀘스트 클리어 시의 성취감 등을 느끼며 자연스럽게 실력을 향상시켜 보세요.

■다양한 커스텀 요소
대전에서 사용할 수 있는 무기 스킨이나 색상, 자신만의 아바타 설정, 곁에서 응원해 주는 파트너 등 더욱 풍부하고 다채로운 게임 플레이를 위한 요소가 한가득! 마음에 드는 캐릭터나 무기를 찾아 'GBVS'의 세계를 만끽해 보세요.

■디지털 피규어
무수히 많은 'GBVS' 시리즈의 하이퀄리티 3D 모델을 자유롭게 배치하며 자신만의 신을 만들어 보세요.

※PlayStation™Store에서 PS4™ 다운로드판을 구매하신 분은 추가 요금 없이 PS5® 다운로드판을 다운로드할 수 있습니다.
※다운로드판(PlayStation™Store에서 구매 또는 획득 가능한 본편, 추가 디지털 콘텐츠)에는 각각 PS4™판과 PS5®판이 동봉되어 있습니다.
※인터넷에 연결되지 않은 경우에는 일부 이용할 수 없는 요소가 있으니 주의해 주시기 바랍니다.
※온라인 플레이를 위해서는 PlayStation®Plus 서비스 가입(유료)이 필요합니다.
※본 콘텐츠에 포함된 일부를 이미 획득한 경우에도 구매할 수 있습니다.
※본 상품에는 단품 또는 다른 세트 상품으로 구매할 수 있는 콘텐츠가 포함되어 있습니다.
※내용 및 사양은 예고 없이 일부 변경될 수 있습니다.","['Granblue Fantasy Versus: Rising Standard Edition PS5 & PS4', 'Granblue Fantasy Versus: Rising Standard Edition PS5 & PS4 (중국어(간체자), 한국어, 영어, 일본어, 중국어(번체자))']","Cygames, Inc.",['https://image.api.playstation.com/vulcan/ap/rnd/202307/1410/ec2d7b5c460e16a679c11d3806352a666617129c1f74a0e8.png?w=1920'],"['격투', ' 액션', ' 파티']",['playstation']
CUSTOM MECH WARS -커스텀 메카 워즈-,https://store.playstation.com/ko-kr/concept/10007386,https://image.api.playstation.com/vulcan/ap/rnd/202309/2110/f339725c959fd5986aead66eb7c5d78e7595f94eca68f005.jpg?w=1920,"【예약 특전】(2023년 12월 13일 23:59까지)
・다리 부위 파츠 「랩핑 카 BG」
・다리 부위 파츠 「랩핑 트럭 OL」
・다리 부위 파츠 「랩핑 전철 DCC」


【조기 구입 특전】(2024년 1월 12일 23:59까지)
・머리 부위 파츠 「미소녀 머리」

메카 커스텀 게임의 커스터마이즈성을 극한으로 끌어올린 「마개조 시스템」 탑재. 유일무이한 기체로 싸우는 3D 메카 액션 슈팅이 새롭게 등장.

■「마개조 시스템」으로 세상에서 단 하나뿐인 기체를 구축
「팔과 머리 부위 파츠를 다수 장착」하고 「파츠의 장착 위치 및 각도를 자유자재로 변경」하는 등, 이족 보행 로봇의 개념에 얽매이지 않는 자유로운 커스터마이즈에 충실한 「마개조 시스템」 탑재. 커스터마이즈 파츠에 따라 파라미터도 크게 변화하며 자신이 원하는 성능과 전투 스타일의 기체를 구축할 수 있다.

■마개조한 기체로 공격을 퍼붓는 경쾌한 3D 액션 슈팅
다양한 무장을 다중 탑재하여, 덮쳐 오는 무수한 적 기체에 쏟아붓자. 마개조한 기체이기에 가능한, 상쾌함 넘치는 메카 액션을 체험할 수 있다. 적을 파괴하고 새로운 파츠를 획득하여 나만의 기체에 커스터마이즈. 전투와 강화를 거듭하여 다채로운 미션을 제패하자.

■마개조 로봇들의 경연. 온라인으로 벌이는 다른 플레이어와의 합동 전투
본작에서는 온라인 멀티 플레이로 최대 4명의 플레이어와 함께 싱글 플레이처럼 스토리 미션을 진행할 수 있다. 동료와 연계하여 미션에 도전하는 즐거움을 느낄 수 있으며 마개조한 나만의 기체를 다른 플레이어에게 자랑할 수 있는 절호의 기회도 존재한다.

■성우진
Yousuke Omomo/Akira Sekine/Kotono Mitsuishi/Nobuhiko Okamoto/Lynn/Yuu Maeda/Mina Mizuki/Emi Uema/Shunsuke Todo 외

■음악 제공
테마곡 『IT‘S TIME TO SCREAM』: PSYCHIC LOVER
엔딩곡 『Twilight』: HUMMING BIRD","['CUSTOM MECH WARS', 'CUSTOM MECH WARS -커스텀 메카 워즈- (중국어(간체자), 한국어, 영어, 일본어, 중국어(번체자))']",CLOUDED LEOPARD ENTERTAINMENT INC.,['https://image.api.playstation.com/vulcan/ap/rnd/202309/2110/f339725c959fd5986aead66eb7c5d78e7595f94eca68f005.jpg?w=1920'],['액션'],['playstation']
Hell Well,https://store.playstation.com/ko-kr/concept/10008964,https://image.api.playstation.com/vulcan/ap/rnd/202310/1107/1e129276ebf09b4e216eb241209c7fdd7cdb233a0888b048.png?w=1920,"어둠의 소서러가 되어 당신을 파괴하러 몰려오는 천사 무리를 막아내세요! 레트로 4톤 스타일로 펼쳐지는 Hell Well은 당신의 몰락을 피할 수 없는 톱다운 타워 디펜스 서바이벌 게임입니다. 하지만 진정한 도전은 궁극적인 종말을 맞이하기 전에 최대한 많은 적을 쓰러뜨리는 것입니다.

타락한 영혼을 모아 악마의 토템 같은 방어 군단으로 만들어서 성스러운 공격자 무리를 막아내세요. 그다음, 능력을 업그레이드하고 부하의 레벨을 올려 점진적으로 생성되는 폐허와 묘지에서 당신의 병력을 키워가세요.

특징:

• 톱다운 액션과 타워 디펜스가 결합된 게임 속에서 적의 웨이브를 이겨내고 살아남으세요!
• 타락한 영혼을 모아 악마의 방어 무기로 부활시키세요.
• 적을 피하고 주문을 사용해서 적을 물리치거나 함정으로 유인하세요!
• 던전 허브에서 새로운 아이템을 모으고 새로운 색상 팔레트를 획득하세요.
• 마법 주문을 업그레이드하거나 빠른 전략으로 터렛의 레벨을 올리세요!",['Hell Well'],eastasiasoft,['https://image.api.playstation.com/vulcan/ap/rnd/202310/1107/1e129276ebf09b4e216eb241209c7fdd7cdb233a0888b048.png?w=1920'],"['액션', ' 액션']",['playstation']
Ravva and the Phantom Library,https://store.playstation.com/ko-kr/concept/10009127,https://image.api.playstation.com/vulcan/ap/rnd/202310/1308/f2c068e22ab72f3f123e8a126cc642a93babac4a731fe9e6.png?w=1920,"젊은 소환사 견습생인 Ravva가 되어 4명의 개성 넘치는 동료를 소환하고, 악몽과도 같은 팬텀 도서관에서 탈출하세요! 이 레트로 횡스크롤 플랫포머에서는 당신이 원하는 순서대로 유령 책 세계로 들어가 각 책의 마스터를 물리치고 도서관을 지배하는 존재를 상대하게 됩니다. 또한, 클리어한 책은 나중에 다시 들어가서 새로운 비밀을 파헤치고 단순히 보스를 물리치는 것 이상으로 스테이지를 완료할 수도 있습니다. 가장 헌신적인 소환사는 특별한 결말을 잠금 해제할 수 있을지도 몰라요!

8비트 장르 클래식으로부터 영감을 받은 Ravva and the Phantom Library는 기발한 레벨 디자인에 활기찬 픽셀 아트, 정밀한 컨트롤을 결합하여 과거 클래식 게임에 경의를 표하면서도 신선한 경험을 더했습니다. 사랑스러운 캐릭터, 유려한 애니메이션, 두뇌를 자극하는 퍼즐이 7개의 기발한 스테이지를 채우고 있습니다! 3가지 난이도 중에서 자신에게 맞는 난이도를 고르세요.

특징:

• 작은 올빼미 소환사 Ravva가 되어 레트로 횡스크롤 액션을 즐기세요!
• 4가지 동료의 각기 다른 재능을 사용해서 장애물을 극복하고 적을 물리치세요.
• 유령 책에 들어가서 다양하고 흥미로운 테마가 가득한 스테이지를 탐험하세요!
• 유려한 픽셀 아트 스타일로 구현된 거대한 보스를 물리치세요.
• 클리어한 책 세계를 다시 방문해서 비밀을 찾고 특별한 결말을 잠금 해제하세요!",['Ravva and the Phantom Library'],eastasiasoft,['https://image.api.playstation.com/vulcan/ap/rnd/202310/1308/f2c068e22ab72f3f123e8a126cc642a93babac4a731fe9e6.png?w=1920'],"['액션', ' 퍼즐']",['playstation']
Shivering Stone,https://store.playstation.com/ko-kr/concept/10009327,https://image.api.playstation.com/vulcan/ap/rnd/202310/1713/c2b989d2784fffdc9d44967a06f81542f6eaa111f3377805.png?w=1920,"겨울숲을 배경으로 편안한 여정을 체험하세요. 평온한 비주얼과 마음이 차분해지는 사운드를 즐기면서 당신 앞에 펼쳐지는 비밀을 풀고 두뇌를 자극하는 시나리오를 진행해 나가세요.

Shivering Stone은 눈밭과 얼어붙은 숲을 여행하는 젊은 남자의 역할을 맡아 진행하는 환경 슬라이딩 퍼즐입니다. HD 픽셀 아트와 선명한 스프라이트 및 유려한 애니메이션으로 제공되는 Shivering Stone의 50개 스테이지는 진행할수록 점점 더 퍼즐 난이도가 높아집니다. 각각의 퍼즐은 톱다운 시점으로 하나의 화면을 완전히 다 채웁니다.

과연 당신은 준비된 퍼즐을 전부 다 풀 수 있을까요?

특징:

• 밀기 퍼즐 메카닉에 얼음 요소를 더했습니다!
• 젊은 모험가를 안내하여 눈밭과 얼어붙은 숲을 여행하세요.
• 바위를 밀고 얼음 위의 구멍에 떨어뜨려 관문을 잠금 해제하고 출구를 여세요!
• 50개의 단일 화면 스테이지를 통해 점점 더 어려워지는 퍼즐 구성을 경험하세요.
• 제약 없이 얼마든지 초기화하고 다시 도전하세요.
• 유려한 픽셀 아트 애니메이션과 멋진 환경을 즐기세요!",['Shivering Stone'],eastasiasoft,['https://image.api.playstation.com/vulcan/ap/rnd/202310/1713/c2b989d2784fffdc9d44967a06f81542f6eaa111f3377805.png?w=1920'],"['가족', ' 퍼즐']",['playstation']
Stickman's Arena,https://store.playstation.com/ko-kr/concept/10007391,https://image.api.playstation.com/vulcan/ap/rnd/202310/3008/136124d60d04c6145348066169183bc39934e66921b2dd60.png?w=1920,"스틱맨 각자도생! Stickman's Arena는 한 번에 최대 6개의 무기를 휘두르는 스틱맨을 플레이하여 적의 무리를 물리쳐야 하는 아레나 슈터 로그라이트 게임입니다. 다양한 업그레이드 중에서 자신에게 맞는 것을 선택하고 여러 무기를 조합해서 도전할 때마다 더욱 강력한 빌드를 만드세요! 얼마나 많은 웨이브에서 살아남을 수 있을까요?

손으로 그린 엉뚱한 그림 스타일로 펼쳐지는 Stickman's Arena는 몇 번을 플레이해도 질리지 않는 톱다운 액션을 선사합니다. 유쾌발랄한 분위기를 유지하기 때문에 가볍게 즐기기에도 좋지만, 최고의 실력자가 되겠다는 집념을 가진 분들은 길고 치열한 전투를 즐길 수도 있습니다!

특징:

• 톱다운 액션과 무작위 로그라이트 요소가 결합된 치열한 아레나 전투 속에서 살아남으세요!
• 각자 고유의 스킬, 능력치, 약점을 보유한 6가지 캐릭터 유형 중에서 자신에게 맞는 걸 고르세요.
• 적을 물리치고 돈을 모아 즉석 업그레이드를 획득하세요!
• 검과 총부터 붕대와 보호 의상까지, 새로운 장비를 구입하세요.
• 무기를 조합해서 새롭고 더욱 강력한 빌드를 만드세요!","[""Stickman's Arena""]",eastasiasoft,['https://image.api.playstation.com/vulcan/ap/rnd/202310/3008/136124d60d04c6145348066169183bc39934e66921b2dd60.png?w=1920'],['액션'],['playstation']
Towers and Powers,https://store.playstation.com/ko-kr/concept/10008561,https://image.api.playstation.com/vulcan/ap/rnd/202309/2913/5efc2431fb360ffc5e98240d14e7f2d78ed30faa64cbaef8.jpg?w=1920,"신이 될 시간입니다! 주민을 구하고, 섬이 적에게 넘어가지 않도록 지키세요. VR 타워 디펜스 게임인 Towers & Powers에서는 주민들의 방어 세력을 조직하고, 감독하고, 강화하는 데 당신의 신성한 개입이 필요하죠!

Towers & Powers에서는 아름다운 풍경, 우아한 건물, 신화 속의 생물... 그리고 혼돈으로 가득한 고대의 땅을 마주하게 됩니다! 이 아름다운 곳이 공격을 받고 있습니다! 신이 된 당신은 주민들을 구하고, 섬이 몰락하지 않도록 지켜야 하죠. 하지만 규칙에 따라 직접적인 개입은 금지되어 있습니다... 그러면 어떻게 해야 하는 걸까요? 남은 방법은 한 가지뿐이겠죠. 당신의 손에 힘을 실어주는 겁니다!

농민, 사제, 전사, 마법사로 구성된 팀을 직접 만들고, 이들에게 어떠한 건물이 필요한지 결정하고, 힘을 활용해 아군을 방어하고 적을 가두세요. 섬에서 당신은 성취해야 할 경제적, 군사적 과제, 흥미진진한 전투와 모험, 충성스러운 숭배자, 잔혹한 적과 몬스터를 만나게 될 겁니다. 신성한 여정을 시작할 준비가 되셨나요?

- VR로 즐기는 타워 디펜스!
- 스탠딩 또는 좌식으로 플레이하거나, 혼자 또는 옆에 있는 고양이와 함께 플레이하세요!
- 모든 관점에서 전장을 점검하세요!
- 다양한 유형의 유닛을 조합한 타워를 건설하세요!
- 유닛은 타워뿐만 아니라 전장에서도 활용할 수 있습니다!
- 손으로 직접 마나를 모으고 주문을 시전하세요!
- 적의 전진을 막을 바리케이드를 설치하세요!

고대의 신이 되세요!

PS VR2 및 PS VR2 Sense 컨트롤러 필수
VR 플레이 스타일: 좌식, 스탠딩, 룸스케일",['Towers and Powers'],MEKIWI,['https://image.api.playstation.com/vulcan/ap/rnd/202309/2913/5efc2431fb360ffc5e98240d14e7f2d78ed30faa64cbaef8.jpg?w=1920'],['전략'],['playstation']
Winter Sports Games,https://store.playstation.com/ko-kr/concept/234305,https://image.api.playstation.com/vulcan/ap/rnd/202312/0511/b31ba850e75e6407517ecaa54e74b23dc733c59145b8128f.png?w=1920,"눈으로 출발!

스키, 봅슬레이 또는 썰매를 아이스 링크에서 즐기거나 컬링을 할 때 얼음 위로 스톤을 컬링하는 것을 선호하는지 여부는 중요하지 않습니다.

토너먼트에서 우승하고 챌린지를 마스터할 수 있는 6가지 흥미진진한 분야가 있습니다. 혼자 또는 최대 4명의 플레이어와 함께 소파에서 플레이할 수 있으며, 경기 후 모두 콧물 없이 플레이할 수 있습니다!

• 2~4인용 로컬 멀티플레이어
• 6가지 흥미진진한 분야:
• 스키 점프
• 스키 슬라롬
• 활강 스키
• 봅슬레이
• 썰매 타기
• 컬링
• 현대적인 그래픽과 고전적인 컨트롤","['Winter Sports Games - 4K Edition (영어)', 'Winter Sports Games - 4K Edition']",JOINDOTS GMBH,['https://image.api.playstation.com/vulcan/ap/rnd/202312/0511/b31ba850e75e6407517ecaa54e74b23dc733c59145b8128f.png?w=1920'],['스포츠'],['playstation']
Hammerwatch Anniversary Edition,https://store.playstation.com/ko-kr/concept/10004837,https://image.api.playstation.com/vulcan/ap/rnd/202312/0202/47ac996139b8577a464c926f962c45496ab04b1bfdb32280.jpg?w=1920,"해머워치 성의 던전으로 돌아가 악의 심연을 탐험하세요.

영웅들을 모아 위험한 미궁을 탐험하여 사악한 짐승과 적을 물리칠 준비를 하세요. 롤란드 왕이 끔찍한 블라이트와 그의 용 군대에 의해 폐위된 이후 헤리안 왕국은 고통에 시달리고 있습니다. 왕의 동생이자 배신자인 아치볼드 경은 블라이트와 그의 악랄한 욕망의 꼭두각시로서 왕좌에 앉게 되었습니다.

각각 고유한 능력을 지닌 7가지 영웅 직업 중에서 선택하세요. 혼자서 위험한 괴물 떼를 물리치거나 협동 모드에서 고귀한 챔피언들과 함께 힘을 합칠 수 있으며, 협동 모드는 온라인 및 로컬 플레이 모두 가능합니다. 세 가지 캠페인에서 도전을 시작하거나 나만의 맞춤형 시나리오를 만들어 보세요.

Hammerwatch 기념 에디션은 출시 10주년을 기념하여 2013년의 오리지널 Hammerwatch를 아름답게 리마스터했습니다.
이미 출시된 해머워치 성과 태양의 사원 캠페인에 더해 새로운 샤프트록 타워 캠페인을 시작하세요. 새로운 아트, 신규 효과와 함께 개편된 캐릭터 클래스, 최신 아이템 시스템 등을 경험해 보세요!

주요 특징:
- 더 많은 탐험거리 - 해머워치 성 및 태양의 사원 캠페인 외에 새로운 캠페인인 샤프트록 타워를 경험하세요.
- 업데이트된 그래픽 - 픽셀 아트가 개선되고 캐릭터 직업이 새로운 효과와 함께 개편었습니다.
- 새로운 아이템 시스템 - Hammerwatch에 새롭게 추가된 아이템 시스템으로, 찾거나 구매할 수 있는 아이템을 저장하여 무기의 폭을 넓혀 보세요.
- 세계 변경 - 대폭 확장된 기능으로 모드 지원이 개선되었습니다. 참고: 이전 저장 및 모드는 호환되지 않습니다.
- 새로운 난이도 옵션 - 숙련된 플레이어를 위한 새로운 난이도 설정과 새로운 퍼즐이 추가되었습니다.
- 캐릭터 커스터마이징 - 6개의 새로운 캐릭터 목소리와 4가지 색상 팔레트 등 오리지널 게임에 새롭게 추가된 커스터마이징 시스템입니다.",['Hammerwatch Anniversary Edition'],Modus Games,['https://image.api.playstation.com/vulcan/ap/rnd/202312/0202/47ac996139b8577a464c926f962c45496ab04b1bfdb32280.jpg?w=1920'],['액션'],['playstation']
Bigfoot's Journey,https://store.playstation.com/ko-kr/concept/10009913,https://image.api.playstation.com/vulcan/ap/rnd/202311/2500/1b5241fdbc125a19b7d7a72f0e306814d87229c75894b31b.jpg?w=1920,"숨고, 생존하고, 다른 차원을 여행하고, 미로를 통과하는 방법을 배운 실제 빅풋에 대해 알아보세요.

20세기의 가장 중요한 사건 중 세 가지가 눈에 띕니다. 인간이 우주로 나갔습니다. 인간은 달에 가본 적이 있다. 그 사람은 자신이 지구상에서 지능을 가진 유일한 소유자가 아니라는 것을 확신하게 되었습니다.

몇 년이 지났습니다. 행성은 21세기 중반이다. 인류는 멸종 위기에 처해 있습니다. 핵겨울이 맹위를 떨치고 있습니다. 공식적으로는 유사과학으로 분류되어 있지만, 실제로는 연구 대상이 실제이기 때문에 가장 중요한 과학 분야입니다.

특징:

- 7장
- 15개의 미로가 있는 미니 게임
- 흑백 표현 그림","[""Bigfoot's Journey""]",Volkov Konstantin Sergeevich,['https://image.api.playstation.com/vulcan/ap/rnd/202311/2500/1b5241fdbc125a19b7d7a72f0e306814d87229c75894b31b.jpg?w=1920'],"['어드벤처', ' 캐주얼']",['playstation']
